"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","870","test_delete_cart","","2025-09-27","passed","2025-09-27","TestProductAPI","test_cart_tests","",""
"","756","test_get_user_cart","","2025-09-27","passed","2025-09-27","TestProductAPI","test_cart_tests","",""
"","692","test_create_user","","2025-09-27","passed","2025-09-27","TestProductAPI","test_user_tests","",""
"","707","test_create_cart","","2025-09-27","passed","2025-09-27","TestProductAPI","test_cart_tests","",""
"","674","test_get_users_sorted_desc","","2025-09-27","passed","2025-09-27","TestProductAPI","test_user_tests","",""
"","454","test_update_product","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","902","test_get_all_products_by_all_categories","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","2146","test_get_all_carts","","2025-09-27","passed","2025-09-27","TestProductAPI","test_cart_tests","",""
"","967","test_get_user_by_id","","2025-09-27","passed","2025-09-27","TestProductAPI","test_user_tests","",""
"","795","test_get_all_products","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","2848","test_get_limited_products","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","2480","test_add_new_delete_product[order_data1]","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_datadriven_tests","",""
"","804","test_carts_by_date_range","","2025-09-27","passed","2025-09-27","TestProductAPI","test_cart_tests","",""
"","1716","test_add_new_delete_product[order_data4]","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_datadriven_tests","",""
"","495","test_update_user","","2025-09-27","passed","2025-09-27","TestProductAPI","test_user_tests","",""
"","556","test_get_user_with_limit","","2025-09-27","passed","2025-09-27","TestProductAPI","test_user_tests","",""
"","744","test_get_single_product_by_id","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","982","test_get_sort_products_desc","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","453","test_get_sort_products_asc","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","914","test_get_products_by_categories","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","1156","test_add_new_delete_product[order_data2]","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_datadriven_tests","",""
"","1920","test_delete_user","","2025-09-27","passed","2025-09-27","TestProductAPI","test_user_tests","",""
"","479","test_delete_product","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
"","2757","test_add_new_delete_product[order_data0]","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_datadriven_tests","",""
"","1587","test_update_cart","","2025-09-27","passed","2025-09-27","TestProductAPI","test_cart_tests","",""
"","564","test_get_all_users","","2025-09-27","passed","2025-09-27","TestProductAPI","test_user_tests","",""
"","1470","test_add_new_delete_product[order_data3]","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_datadriven_tests","",""
"","1812","test_get_users_sorted_asc","","2025-09-27","passed","2025-09-27","TestProductAPI","test_user_tests","",""
"","1419","test_get_cart_by_id","","2025-09-27","passed","2025-09-27","TestProductAPI","test_cart_tests","",""
"","754","test_add_new_product","","2025-09-27","passed","2025-09-27","TestProductAPI","test_product_tests","",""
